month_year,bank_name,role_type,total_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,approved_volume_mn,total_decline_pct
2024-12,Bank of Maharashtra,Remitter,188.42,92.05,48,7.48,173.44,55.48
2024-12,IDBI Bank Ltd.,Remitter,186.2,92.96,26,6.78,173.09,32.78
2024-12,Indusind Bank Ltd.,Remitter,185.78,88.29,18,11.53,164.03,29.53
2024-12,Fino Payments Bank Ltd.,Remitter,175.75,92.78,8,7.14,163.06,15.14
2024-12,Yes Bank Ltd.,Remitter,167.84,83.65,37,15.97,140.4,52.97
2024-12,Karnataka Bank,Remitter,132.76,92.27,8,7.65,122.5,15.65
2024-12,IDFC Bank Ltd.,Remitter,100.59,90.89,3,9.08,91.43,12.08
2024-12,Karur Vysya Bank,Remitter,83.14,92.16,39,7.44,76.62,46.44
2024-12,The Jammu & Kashmir Bank Limited,Remitter,81.64,90.33,3.89,5.78,73.75,9.67
2024-12,Bandhan Bank limited,Remitter,76.61,92.36,2.34,5.3,70.76,7.64
2024-12,Tri O Tech Solutions Private Limited,Remitter,75.47,100,0,0,75.47,0
2024-12,AU Small Finance Bank,Remitter,74.62,85.93,32,13.75,64.12,45.75
2024-12,The South Indian Bank Limited,Remitter,66.9,94.45,9,5.46,63.19,14.46
2024-12,Punjab and Sind Bank,Remitter,49.27,90.85,23,8.92,44.76,31.92
2024-12,City Union Bank,Remitter,48.89,92.29,13,7.58,45.12,20.58
2024-12,Ujjivan Small Finance Bank Limited,Remitter,48.39,94.34,72,4.94,45.65,76.94
2024-12,Tamilnad Mercantile Bank Limited,Remitter,46.51,92.08,27,7.65,42.83,34.65
2024-12,Kerala Gramin Bank,Remitter,41.21,88.28,4.95,6.77,36.38,11.72
2024-12,JIO Payments Bank Ltd,Remitter,33.99,87.33,83,11.83,29.68,94.83
2024-12,Baroda U.P. Bank,Remitter,33.15,91.84,1.29,6.86,30.44,8.15
2024-12,Equitas Small Finance Bank,Remitter,32.91,91.17,6,8.77,30,14.77
2024-12,Karnataka Gramin Bank,Remitter,32.82,86.77,4.36,8.87,28.48,13.23
2024-12,DBS Bank India Limited,Remitter,30.61,92.52,10,7.38,28.32,17.38
2024-12,Andhra Pradesh Grameena Vikas Bank,Remitter,29.81,84.21,1.64,14.15,25.1,15.79
2024-12,ESAF Small Finance Bank Ltd,Remitter,29.55,95.4,3,4.57,28.19,7.57
2024-12,Maharashtra Gramin Bank,Remitter,29.54,84.9,3.03,12.07,25.08,15.1
2024-12,Rajasthan Marudhara Gramin Bank,Remitter,29.43,85.89,1.79,12.33,25.28,14.12
2024-12,RBL Bank Ltd.,Remitter,28.58,92.56,22,7.22,26.45,29.22
2024-12,NSDL Payments Bank Limited,Remitter,28.19,85.11,1.4,13.49,23.99,14.89
2024-12,Saraswat Co-operative Bank,Remitter,28.07,93.6,37,6.03,26.27,43.03
2024-12,Standard Chartered Bank,Remitter,27.55,94.79,1.3,3.92,26.11,5.22
2024-12,Andhra Pragathi Grameena Bank,Remitter,26.11,75.39,11.16,13.44,19.68,24.6
2024-12,Sarva Haryana Gramin Bank,Remitter,21.42,89.43,4.46,6.11,19.16,10.57
2025-12,State Bank of India,Remitter,5833.74,91.89,57,7.54,5360.62,64.54
2025-12,HDFC Bank Ltd.,Remitter,1654.3,94.3,3,5.67,1560,8.67
